window,variant,horizon,cost_bps,rank_ic_mean,rank_ic_positive_rate,rank_ic_dates,top_bucket_return_mean,bottom_bucket_return_mean,top_bottom_spread_mean,top_bottom_hit_rate,top_bucket_max_drawdown,spread_max_drawdown,turnover_mean,sector_exposure_top,top_avg_close,universe_avg_close,top_avg_adv20,universe_avg_adv20,score_size_spearman,score_liquidity_spearman,observations
old_thin,momentum_60,10,0,0.023454,0.549618,131,0.02858,0.005728,0.022852,0.580153,-0.329629,-0.192112,0.105769,"{""Communication Services"": 0.0954, ""Consumer Discretionary"": 0.1031, ""Energy"": 0.0172, ""Financials"": 0.0611, ""Healthcare"": 0.0095, ""Industrials"": 0.0897, ""Technology"": 0.624}",224.722772,262.858579,5731441525.768048,4239229571.178708,0.127676,0.004091,4977
old_thin,momentum_60,20,0,0.014607,0.586777,121,0.067276,0.001663,0.065613,0.669421,-0.261986,-0.1646,0.1,"{""Communication Services"": 0.0785, ""Consumer Discretionary"": 0.1033, ""Energy"": 0.0103, ""Financials"": 0.0661, ""Healthcare"": 0.0062, ""Industrials"": 0.0723, ""Technology"": 0.6632}",219.549228,264.588761,5989462444.303635,4197200941.448284,0.102649,0.010169,4597
old_thin,momentum_60,60,0,-0.051617,0.469136,81,0.177268,-0.003997,0.181265,0.567901,-0.134991,-0.073694,0.065625,"{""Communication Services"": 0.034, ""Consumer Discretionary"": 0.1512, ""Financials"": 0.0772, ""Industrials"": 0.0154, ""Technology"": 0.7222}",196.514222,261.471432,7155671976.002165,3965945565.558198,0.040034,0.039408,3077
old_thin,momentum_60,5,35,0.01939,0.529412,136,0.008997,-0.000186,0.009182,0.573529,-0.373154,-0.232936,0.109259,"{""Communication Services"": 0.1048, ""Consumer Discretionary"": 0.1048, ""Energy"": 0.0165, ""Financials"": 0.0588, ""Healthcare"": 0.0184, ""Industrials"": 0.0864, ""Technology"": 0.6103}",230.252863,262.049285,5676163521.101733,4275057748.386484,0.138816,0.0069,5167
old_thin,momentum_60,10,35,0.023454,0.549618,131,0.02508,0.002228,0.022852,0.580153,-0.339769,-0.192112,0.105769,"{""Communication Services"": 0.0954, ""Consumer Discretionary"": 0.1031, ""Energy"": 0.0172, ""Financials"": 0.0611, ""Healthcare"": 0.0095, ""Industrials"": 0.0897, ""Technology"": 0.624}",224.722772,262.858579,5731441525.768048,4239229571.178708,0.127676,0.004091,4977
old_thin,momentum_60,20,35,0.014607,0.586777,121,0.063776,-0.001837,0.065613,0.669421,-0.268546,-0.1646,0.1,"{""Communication Services"": 0.0785, ""Consumer Discretionary"": 0.1033, ""Energy"": 0.0103, ""Financials"": 0.0661, ""Healthcare"": 0.0062, ""Industrials"": 0.0723, ""Technology"": 0.6632}",219.549228,264.588761,5989462444.303635,4197200941.448284,0.102649,0.010169,4597
old_thin,momentum_60,60,35,-0.051617,0.469136,81,0.173768,-0.007497,0.181265,0.567901,-0.137615,-0.073694,0.065625,"{""Communication Services"": 0.034, ""Consumer Discretionary"": 0.1512, ""Financials"": 0.0772, ""Industrials"": 0.0154, ""Technology"": 0.7222}",196.514222,261.471432,7155671976.002165,3965945565.558198,0.040034,0.039408,3077
old_thin,momentum_60,5,70,0.01939,0.529412,136,0.005497,-0.003686,0.009182,0.573529,-0.390164,-0.232936,0.109259,"{""Communication Services"": 0.1048, ""Consumer Discretionary"": 0.1048, ""Energy"": 0.0165, ""Financials"": 0.0588, ""Healthcare"": 0.0184, ""Industrials"": 0.0864, ""Technology"": 0.6103}",230.252863,262.049285,5676163521.101733,4275057748.386484,0.138816,0.0069,5167
old_thin,momentum_60,10,70,0.023454,0.549618,131,0.02158,-0.001272,0.022852,0.580153,-0.349796,-0.192112,0.105769,"{""Communication Services"": 0.0954, ""Consumer Discretionary"": 0.1031, ""Energy"": 0.0172, ""Financials"": 0.0611, ""Healthcare"": 0.0095, ""Industrials"": 0.0897, ""Technology"": 0.624}",224.722772,262.858579,5731441525.768048,4239229571.178708,0.127676,0.004091,4977
old_thin,momentum_60,20,70,0.014607,0.586777,121,0.060276,-0.005337,0.065613,0.669421,-0.275074,-0.1646,0.1,"{""Communication Services"": 0.0785, ""Consumer Discretionary"": 0.1033, ""Energy"": 0.0103, ""Financials"": 0.0661, ""Healthcare"": 0.0062, ""Industrials"": 0.0723, ""Technology"": 0.6632}",219.549228,264.588761,5989462444.303635,4197200941.448284,0.102649,0.010169,4597
